latintext	translation
Scilicet nihil est mouendum;	Quanto ao menino Quinto Cícero me aconselhas que eu não o deixe de jeito nenhum:
sed tamen ἀφελῶς percontando de nominibus Milonis et ut expediat ut mihi receperit hortando aliquid aut proficies aut certe perspicies.	(.
2 Ego Laodiceae quaestorem Mescinium exspectare iussi, ut confectas rationes lege Iulia apud duas ciuitates possim relinquere.	.
Rhodum uolo puerorum causa, inde quam primum Athenas, etsi etesiae ualde reflant;	.
sed plane uolo his magistratibus, quorum uoluntatem in supplicatione sum expertus.	) Vimos as mesmas coisas como se tivéssemos conversado.
Tu tamen mitte, quaeso, mihi obuiam litteras num quid putes rei publicae nomine tardandum esse nobis.	Não se devia fazer diferente, e tua (.
Tiro ad te dedisset litteras, nisi eum grauiter aegrum Issi reliquissem;	.
sed nuntiant melius esse.	.
Ego tamen angor;	) me livrou da dúvida.
nihil enim illo adulescente castius, nihil diligentius.	Mas acho que recebeste uma carta sobre esse assunto escrita mais caprichadamente.
8 Cicero Attico sal.	4 Eu vou mandar carteiros para vós amanhã.
1 Cum instituissem ad te scribere calamumque sumpsissem, Batonius e naui recta ad me uenit domum Ephesi et epistulam tuam reddidit II Kal.	os quais eu acho que chegarão antes que o nosso Saufeio, mas era pouco correto que ele chegasse até ti sem minha carta.
Oct.	5 Tu me escreverás detalhadamente, como prometeste, sobre minha Tuliazinha, isto é, sobre Dolabela, sobre a república, que prevejo em extremos perigos, sobre os censores e principalmente sobre as estátuas, quadros, o que acontece, o que se submete à deliberação.
Laetatus sum felicitate nauigationis tuae, opportunitate Piliae, etiam hercule sermone eiusdem de coniugio Tulliae meae.	Entreguei esta carta nos idos de outubro [15 de outubro], o dia em que, conforme escreves, César leva quatro legiões à Placência.
2 Batonius autem meros terrores ad me attulit Caesarianos, cum Lepta etiam plura locutus est, spero falsa sed certe horribilia:	Pergunto, o que será de nós?
exercitum nullo modo dimissurum, cum illo praetores designatos tris, Cassium tribunum pl.	Meu alojamento na cidadela em Atenas agora me agrada.
, Lentulum consulem facere, Pompeio in animo esse urbem relinquere.	
3 Sed heus tu, num quid moleste fers de illo qui se solet anteferre patruo sororis tuae fili?	1
At a quibus uictus!	2
4 Sed ad rem.	3
Nos etesiae uehementissimi tardarunt;	4
detraxit XX ipsos dies etiam aphractus Rhodi.	5
Kal.	6
Oct.	7
Epheso conscendentes hanc epistulam dedimus L.	8
Tarquitio simul e portu egredienti sed expeditius nauiganti.	9
Nos Rhodiorum aphractis ceterisque longis nauibus tranquillitates aucupaturi eramus;	10
ita tamen properabamus ut non posset magis.	11
5 De raudusculo Puteolano gratum.	12
Nunc uelim dispicias res Romanas, uideas quid nobis de triumpho cogitandum putes, ad quem amici me uocant.	13
Ego, nisi Bibulus, qui dum unus hostis in Syria fuit pedem porta non plus extulit quam consul domo sua, adniteretur de triumpho, aequo essem animo;	14
nunc uero “αἰσχρὸν σιωπᾶν”.	15
Sed explora rem totam, ut quo die congressi erimus consilium capere possimus.	16
Sat multa, qui et properarem et ei litteras darem qui aut mecum aut paulo ante uenturus esset.	17
Cicero tibi plurimam salutem dicit, tu dices utriusque nostrum uerbis et Piliae tuae et filiae.	18
9 Cicero Attico sal.	19
1 In Piraeea cum exissem prid.	20
Id.	21
Oct.	22
, accepi ab Acasto seruo meo statim tuas litteras.	23
Quas quidem cum exspectassem iam diu, admiratus sum, ut uidi obsignatam epistulam, breuitatem eius, ut aperui, rursus σύγχυσιν litterularum, quae solent tuae compositissimae et clarissimae esse;	24
ac, ne multa, cognoui ex eo quod ita scripseras te Romam uenisse a.	25
d.	26
XII Kal.	27
Oct.	28
cum febri.	29
Percussus uehementer, nec magis quam debui, statim quaero ex Acasto.	30
Ille et tibi et sibi uisum et ita se domi ex tuis audisse ut nihil esset incommodi;	31
id uidebatur adprobare quod erat in extremo, febriculam tum te habentem scripsisse.	32
Sed te amaui tamen admiratusque sum quod nihilo minus ad me tua manu scripsisses.	33
Qua re de hoc satis;	34
spero enim, quae tua prudentia et temperantia est, et hercule, ut me iubet Acastus, confido te iam ut uolumus ualere.	35
2 A Turranio te accepisse meas litteras gaudeo.	36
παραφύλαξον, si me amas, τὴν τοῦ φυρατοῦ φιλοτιμίαν·αὐτίκα γὰρ hanc, quae mehercule mihi magno dolori est (dilexi enim hominem), procura, quantulacumque est, Precianam hereditatem;	37
prorsus ille ne attingat.	38
Dices nummos mihi opus esse ad apparatum triumphi;	39
in quo, ut praecipis, nec me κενὸν in expetendo cognosces nec ἄτυφον in abiciendo.	40
3 Intellexi ex tuis litteris te ex Turranio audisse a me prouinciam fratri traditam.	41
Adeon ego non perspexeram prudentiam litterarum tuarum?	42
ἐπέχειν te scribebas;	43
quid erat dubitatione dignum, si esset quicquam cur placeret fratrem et talem fratrem relinqui?	44
ἀθέτησις ista mihi tua, non ἐποχὴ uidebatur.	45
Monebas de Q.	46
Cicerone puero ut eum quidem neutiquam relinquerem:	47
“τοὐμὸν ὄνειρον ἐμοί.”	48
Eadem omnia quasi collocuti essemus uidimus.	49
Non fuit faciendum aliter, meque ἐπιχρονία ἐποχὴ tua dubitatione liberauit.	50
Sed puto te accepisse de hac re epistulam scriptam accuratius.	51
4 Ego tabellarios postero die ad uos eram missurus;	52
quos puto ante uenturos quam nostrum Saufeium, sed eum sine meis litteris ad te uenire uix rectum erat.	53
5 Tu mihi, ut polliceris, de Tulliola mea, id est de Dolabella, perscribes, de re publica, quam prouideo in summis periculis, de censoribus, maximeque de signis, tabulis quid fiat, referaturne.	54
Id.	55
Oct.	56
has dedi litteras, quo die, ut scribis, Caesar Placentiam legiones IIII.	57
Quaeso, quid nobis futurum est?	58
In arce Athenis statio mea nunc placet.	59
	60
